The table below lists the Kanji (Japanese ideographic characters) that are
built into the GNU libplot library and the GNU plotting utilities based on
it, such as `graph'.  For each Kanji, the table lists its index according
to three different numbering schemes, and one or more possible meanings.

In all, 603 Kanji are available.  They include 596 of the 2965 Level 1
(i.e., frequently used) Kanji, and seven additional Level 2 Kanji.  The
603 Kanji were digitized by Dr. Allen V. Hershey of the U.S. Naval Surface
Weapons Center (Dahlgren, VA) in the mid-1960s.  They include many Kanji
used in scientific writing.  For an explanation of how the 603 were chosen,
see his technical report "Calligraphy for Computers".  (Available from the
U.S. National Technical Information Service at +1 703 487 4650; ask for
item number AD662398.)

These Kanji are part of the HersheyEUC font, which is employed for drawing
multibyte Japanese text strings.  But you may also use these Kanji while
drawing text strings in any other Hershey font, by inserting the
appropriate escape sequences.  For example, you may use Kanji to label the
axes of a graph prepared with `graph'.

The first column of the table lists the hexadecimal index of each Kanji in
the 2-byte encoding specified by the JIS X0208 standard, and the second
column lists its index in the 2-byte Unicode encoding.  For information on
the JIS X0208 standard, see Ken Lunde's "Understanding Japanese Information
Processing" (O'Reilly, 1993), or his on-line supplement,
http://www.ora.com/people/authors/lunde/cjk_inf.html .

Once you know the hexadecimal JIS code for a Kanji, you may use it when
drawing a text string in any of the non-Japanese Hershey fonts built into
GNU libplot and GNU `graph'.  For example, Kanji J3021 would be specified,
when drawing a text string in any non-Japanese Hershey font, by the escape
sequence "\#J3021".  Four hexadecimal digits are needed after the "\#J".
They may be in upper or lower case; e.g. "\#J6D55" is equivalent to
"\#J6d55".  If you are using the HersheyEUC font for multibyte encoding of
Japanese, you would encode Kanji J3021 as, instead, the pair of successive
bytes `0xb0' and `0xa1'.  That is because 0x80 + 0x30 = 0xb0 
and 0x80 + 0x21 = 0xa1.

The third column lists the index of each Kanji, in decimal, as specified in
the "Modern Reader's Japanese-English Character Dictionary", edited by
A. N. Nelson. (C. E. Tuttle and Co., 1962, available as ISBN 0-8048-0408-7
for approximately US$50; a revised edition [ISBN 0-8048-2036-8] appeared in
1997, but uses a different numbering.)  GNU libplot supports the
specification of Kanji by decimal `Nelson index', as well as by hexadecimal
JIS code.  As you can see from the table, Kanji N0001 is equivalent to
Kanji J306c.  This Kanji could be specified, when drawing a text string in
any non-Japanese Hershey font, by the escape sequence "\#N0001", as well as
by the escape sequence "\#J306c".  Four decimal digits are required.

The table was constructed with the aid of the KANJIDIC file prepared by Jim
Breen <jwb@dgs.monash.edu.au>.  The KANJIDIC file is a text file that
contains comprehensive information about each Japanese Kanji, with one line
for each Kanji listed in the JIS X0208 standard.  Correspondences to other
numberings (Unicode, Nelson, etc.) are given.  The KANJIDIC file is
available at ftp://ftp.monash.edu.au/pub/nihongo/kanjidic.gz , and
documentation on its format is available at
ftp://ftp.monash.edu.au/pub/nihongo/kanjidic.doc .


Level 1 Kanji (total number: 596)
---------------------------------

JIS	Unicode	Nelson		Meaning(s)
---	------	------		----------

J3326	U754c	N2998	 {world}
J3328	U7d75	N3537	 {picture} {drawing} {painting} {sketch}
J332b	U958b	N4950	 {open} {unfold} {unseal}
J332d	U8c9d	N4486	 {shellfish}
J3330	U5916	N1168	 {outside}
J3346	U5404	N1163	 {each} {every} {either}
J334b	U6838	N2254	 {nucleus} {core} {kernel}
J3351	U89d2	N4301	 {angle} {corner} {square}
J3353	U8f03	N4623	 {contrast} {compare}
J3357	U9769	N5088	 {leather} {become serious} {skin} {hide} {pelt}
J3358	U5b66	N1271	 {study} {learning} {science}
J335a	U697d	N2324	 {music} {comfort} {ease}
J3364	U5272	N0703	 {proportion} {comparatively} {divide} {cut} {separate} {split}
J3424	U74e6	N2977	 {tile} {gram}
J3428	U5bd2	N1322	 {cold}
J342c	U5dfb	N1466	 {scroll} {volume} {book} {part} {roll up} {wind up} {tie} {coil}
J3433	U5e72	N1492	 {dry} {parch}
J3434	U5e79	N0790	 {tree-trunk}
J3436	U611f	N1731	 {emotion} {feeling} {sensation}
J3437	U6163	N1756	 {accustomed} {get used to} {become experienced}
J3445	U7518	N2988	 {sweet} {coax} {pamper} {be content} {sugary}
J3449	U7ba1	N3416	 {pipe} {tube} {wind instrument} {drunken talk}
J3454	U9084	N4750	 {send back} {return}
J3456	U9593	N4949	 {interval} {space}
J3458	U95a2	N4958	 {connection} {barrier} {gateway} {involve} {concerning}
J346f	U5668	N0994	 {utensil} {vessel} {receptacle} {implement} {instrument} {ability} {container} {tool} {set}
J3470	U57fa	N1098	 {fundamentals} {radical (chem)} {counter for machines} {foundation}
J3476	U5e7e	N1496	 {how many} {how much} {how far} {how long}
J347c	U671f	N3785	 {period} {time} {date} {term}
J3521	U6a5f	N2379	 {mechanism} {opportunity} {occasion} {machine} {airplane}
J3522	U5e30	N1582	 {homecoming} {arrive at} {lead to} {result in}
J3524	U6c17	N2480	 {spirit} {mind}
J3525	U6c7d	N2507	 {vapor} {steam}
J352d	U8a18	N4318	 {scribe} {account} {narrative}
J3530	U8ecc	N4610	 {rut} {wheel} {track} {model} {way of doing}
J3534	U9b3c	N5276	 {ghost} {devil}
J3535	U4e80	N5445	 {tortoise} {turtle}
J3546	U83ca	N3981	 {chrysanthemum}
J3555	U9006	N4685	 {inverted} {reverse} {opposite} {wicked}
J355a	U53ca	N0154	 {reach out} {exert} {exercise} {cause}
J355b	U5438	N0885	 {suck} {imbibe} {inhale} {sip}
J355d	U5f13	N1560	 {bow} {bow (archery, violin)}
J3565	U7403	N2941	 {ball} {sphere}
J3566	U7a76	N3314	 {research} {study}
J3569	U7d1a	N3496	 {class} {rank} {grade}
J356d	U725b	N2852	 {cow}
J356e	U53bb	N1051	 {gone} {past} {quit} {leave} {elapse} {eliminate} {divorce}
J356f	U5c45	N1387	 {reside} {to be} {exist} {live with}
J3575	U865a	N4109	 {void} {emptiness} {unpreparedness} {crack} {fissure} {untruth}
J3577	U8ddd	N4548	 {long-distance}
J357b	U9b5a	N5281	 {fish}
J357e	U4eac	N0295	 {capital} {10**16}
J3621	U4f9b	N0431	 {submit} {offer} {present} {serve (meal)} {accompany}
J3626	U5171	N0581	 {together} {both} {neither} {all} {and} {alike} {with}
J362d	U5883	N1135	 {boundary} {border} {region}
J362f	U5f37	N1571	 {strong}
J3635	U6559	N2052	 {teach} {faith} {doctrine}
J3636	U6a4b	N2378	 {bridge}
J364a	U66f2	N0103	 {bend} {music} {melody} {composition} {pleasure} {injustice} {fault} {curve} {crooked} {perverse} {lean}
J364b	U6975	N2305	 {poles} {settlement} {conclusion} {end} {highest rank} {electric poles} {very} {extremely} {most} {highly} {10**48}
J364c	U7389	N2923	 {jewel} {ball}
J3651	U5747	N1065	 {level} {average}
J3661	U8fd1	N4671	 {near} {early} {akin} {tantamount}
J3662	U91d1	N4815	 {gold}
J3664	U9280	N4855	 {silver}
J3665	U4e5d	N0146	 {nine}
J3671	U5177	N3128	 {tool} {utensil} {means} {possess} {ingredients}
J3675	U7a7a	N3317	 {empty} {sky} {void} {vacant} {vacuum}
J367e	U5c48	N1386	 {yield} {bend} {flinch} {submit}
J3738	U4fc2	N0449	 {person in charge} {connection} {duty} {concern oneself}
J3739	U50be	N0534	 {lean} {incline} {tilt} {trend} {wane} {sink} {ruin} {bias}
J373e	U73ea	N2937	 {jade scepter or tablet (authority symbol)}
J373f	U578b	N1077	 {mould} {type} {model}
J3741	U5f62	N1589	 {shape} {form} {style}
J3742	U5f84	N1602	 {diameter} {path} {method}
J374f	U7cfb	N0195	 {lineage} {system}
J3750	U7d4c	N3523	 {sutra} {longitude} {pass thru} {expire} {warp}
J3757	U8a08	N4312	 {plot} {plan} {scheme} {measure}
J375a	U8efd	N4620	 {lightly} {trifling} {unimportant}
J3767	U6b20	N2412	 {lack} {gap} {fail}
J3768	U6c7a	N2509	 {decide} {fix} {agree upon} {appoint}
J376a	U7a74	N3313	 {hole} {aperture} {slit} {cave} {den}
J376b	U7d50	N3540	 {tie} {bind} {contract} {join} {organize} {do up hair} {fasten}
J376c	U8840	N4205	 {blood}
J376e	U6708	N2169	 {month} {moon}
J3777	U570f	N1045	 {sphere} {circle} {radius} {range}
J3824	U72ac	N2868	 {dog}
J3826	U7814	N3180	 {polish} {study of} {sharpen}
J3828	U7d79	N3543	 {silk}
J382b	U898b	N4284	 {see} {hopes} {chances} {idea} {opinion} {look at} {visible}
J3833	U9a13	N5220	 {verification} {effect} {testing}
J3835	U5143	N0275	 {beginning} {former time} {origin}
J3836	U539f	N0825	 {meadow} {original} {primitive} {field} {plain} {prairie} {tundra} {wilderness}
J3839	U5f26	N1568	 {bowstring} {chord} {hypotenuse}
J383a	U6e1b	N2637	 {dwindle} {decrease} {reduce} {decline} {curtail} {get hungry}
J383b	U6e90	N2656	 {source} {origin}
J383d	U73fe	N2943	 {present} {existing} {actual}
J3840	U8a00	N4309	 {say}
J3842	U9650	N4987	 {limit} {restrict} {to best of ability}
J3845	U53e4	N0770	 {old}
J3847	U56fa	N1036	 {harden} {set} {clot} {curdle}
J384c	U5f27	N1567	 {arc} {arch} {bow}
J384d	U6238	N1817	 {door}
J384e	U6545	N2044	 {happenstance} {especially} {intentionally} {reason} {cause} {circumstances} {the late} {therefore} {consequently}
J385d	U9f13	N5415	 {drum} {beat} {rouse} {muster}
J385e	U4e94	N0015	 {five}
J3861	U5348	N0162	 {noon}
J3865	U5f8c	N1610	 {behind} {back} {later}
J3866	U5fa1	N1628	 {honorable} {manipulate} {govern}
J386c	U8a9e	N4374	 {word} {speech} {language}
J3872	U4ea4	N0290	 {mingle} {mixing} {association} {coming & going}
J3877	U5149	N1358	 {ray} {light}
J3878	U516c	N0579	 {public} {prince} {official} {governmental}
J387d	U53e3	N0868	 {mouth}
J387e	U5411	N0101	 {yonder} {facing} {beyond} {confront} {defy} {tend toward} {approach}
J3929	U5de5	N1451	 {craft} {construction}
J3931	U6052	N1683	 {constancy} {always}
J393d	U69cb	N2343	 {posture} {build} {pretend}
J3943	U7532	N0092	 {armor} {high (voice)} {A grade} {1st class} {former} {instep} {carapace}
J394d	U8003	N3684	 {consider} {think over}
J3954	U884c	N4213	 {going} {journey}
J3955	U8861	N1641	 {equilibrium} {measuring rod} {scale}
J395b	U9271	N4843	 {mineral} {ore}
J395d	U92fc	N4883	 {steel}
J395f	U964d	N4994	 {descend} {precipitate} {fall} {surrender}
J3960	U9805	N1459	 {paragraph} {nape of neck} {clause} {item} {term (expression)}
J3961	U9999	N5188	 {incense} {smell} {perfume}
J3962	U9ad8	N5248	 {tall} {high} {expensive}
J3966	U53f7	N0882	 {nickname} {number} {item} {title} {pseudonym} {name} {call}
J3967	U5408	N0383	 {fit} {suit} {join} {0.1}
J3971	U56fd	N1037	 {country}
J3975	U9ed2	N5403	 {black}
J397c	U9aa8	N5236	 {skeleton} {bone} {remains} {frame}
J397e	U8fbc	N4660	 {crowded} {mixture} {in bulk} {included} {(kokuji)}
J3a21	U6b64	N2430	 {this} {current} {next} {coming} {last} {past}
J3a23	U4eca	N0352	 {now}
J3a2c	U6839	N2261	 {root} {radical} {head (pimple)}
J3a38	U5de6	N1455	 {left}
J3a39	U5dee	N3662	 {distinction} {difference} {variation} {discrepancy} {margin} {balance}
J3a42	U5ea7	N1515	 {squat} {seat} {cushion} {gathering} {sit}
J3a46	U518d	N0035	 {again} {twice} {second time}
J3a47	U6700	N2146	 {utmost} {most} {extreme}
J3a59	U7d30	N3522	 {dainty} {get thin} {taper} {slender} {narrow}
J3a5f	U5728	N1055	 {exist} {outskirts} {suburbs} {located in}
J3a6e	U4f5c	N0407	 {make} {production} {prepare} {build}
J3a72	U6628	N2119	 {yesterday} {previous}
J3a79	U685c	N2256	 {cherry tree}
J3b2e	U76bf	N3113	 {dish} {a helping} {plate}
J3b30	U4e09	N0008	 {three}
J3b33	U5c71	N1407	 {mountain}
J3b36	U6563	N2056	 {scatter} {disperse} {spend} {squander}
J3b3b	U7b97	N3415	 {calculate} {divining} {number} {abacus} {probability}
J3b40	U9178	N4789	 {acid} {bitterness} {sour} {tart}
J3b45	U4ed5	N0362	 {attend} {doing} {official} {serve}
J3b4d	U56db	N1025	 {four}
J3b4e	U58eb	N1160	 {gentleman} {samurai}
J3b4f	U59cb	N1208	 {commence} {begin}
J3b52	U5b50	N1264	 {child}
J3b54	U5e02	N0284	 {market} {city} {town}
J3b57	U601d	N3001	 {think}
J3b58	U6307	N1904	 {finger} {point to} {indicate} {put into} {play (chess)} {measure (ruler)}
J3b59	U652f	N2039	 {branch} {support} {sustain}
J3b5e	U679d	N2211	 {bough} {branch} {twig} {limb}
J3b5f	U6b62	N2429	 {stop} {halt}
J3b60	U6b7b	N2439	 {death} {die}
J3b61	U6c0f	N2478	 {family name} {surname} {clan}
J3b64	U79c1	N3265	 {private} {I} {me}
J3b65	U7cf8	N3492	 {thread}
J3b66	U7d19	N3510	 {paper}
J3b6a	U81f3	N3845	 {climax} {arrive} {proceed} {reach} {attain} {result in}
J3b73	U96cc	N2435	 {feminine} {female}
J3b75	U6b6f	N5428	 {tooth} {cog}
J3b76	U4e8b	N0272	 {matter} {thing} {fact} {business} {reason} {possibly}
J3b7a	U5b57	N1281	 {character} {letter} {word} {section of village}
J3b7d	U6301	N1903	 {hold} {have}
J3b7e	U6642	N2126	 {time} {hour}
J3c21	U6b21	N0638	 {next} {order} {sequence}
J3c27	U78c1	N3209	 {magnet} {porcelain}
J3c28	U793a	N3228	 {show} {indicate} {point out} {express} {display}
J3c2a	U8033	N3697	 {ear}
J3c2b	U81ea	N3841	 {oneself}
J3c2d	U8f9e	N3860	 {resign} {word} {term} {expression}
J3c2f	U9e7f	N5375	 {deer}
J3c30	U5f0f	N1556	 {style} {ceremony} {rite} {fn} {method} {system} {form} {expr}
J3c34	U8ef8	N4619	 {axis} {pivot} {stem} {stalk}
J3c37	U4e03	N0261	 {seven}
J3c3c	U5ba4	N1300	 {room} {apartment} {chamber} {greenhouse} {cellar}
J3c3e	U6e7f	N2631	 {damp} {wet} {moist}
J3c41	U8cea	N4518	 {substance} {quality} {matter} {temperament}
J3c42	U5b9f	N1297	 {reality} {truth}
J3c4d	U5c04	N4603	 {shoot} {shine into} {onto} {archery}
J3c50	U659c	N2074	 {diagonal} {slanting} {oblique}
J3c54	U8005	N3685	 {someone} {person}
J3c56	U8eca	N4608	 {car}
J3c5c	U5c3a	N1377	 {shaku} {Japanese foot} {measure} {scale} {rule}
J3c61	U91c8	N4809	 {explanation}
J3c63	U82e5	N3926	 {young} {if} {perhaps} {possibly} {low number} {immature}
J3c67	U4e3b	N0285	 {lord} {chief} {master} {main thing} {principal}
J3c68	U53d6	N3699	 {take} {fetch} {take up}
J3c6a	U624b	N1827	 {hand}
J3c6f	U7a2e	N3295	 {species} {kind} {class} {variety} {seed}
J3c72	U9152	N2573	 {sake} {alcohol}
J3c73	U9996	N5186	 {neck}
J3c7e	U5468	N0622	 {circumference} {circuit} {lap}
J3d29	U79cb	N3273	 {autumn}
J3d2a	U7d42	N3521	 {end} {finish}
J3d2e	U821f	N3863	 {boat} {ship}
J3d39	U919c	N4798	 {ugly} {unclean} {shame} {bad looking}
J3d3d	U5341	N0768	 {ten}
J3d3e	U5f93	N1613	 {accompany} {obey} {submit to} {comply} {follow} {secondary} {incidental} {subordinate}
J3d44	U7e26	N3597	 {vertical} {length} {height} {self-indulgent} {wayward}
J3d45	U91cd	N0224	 {heavy} {heap up} {pile up} {nest of boxes} {-fold}
J3d50	U51fa	N0097	 {exit} {leave}
J3d51	U8853	N1621	 {art} {technique} {skill} {means} {trick} {resources} {magic}
J3d55	U6625	N2122	 {springtime} {spring (season)}
J3d60	U6e96	N0791	 {semi-} {correspond to} {proportionate to} {conform} {imitate}
J3d63	U7d14	N3509	 {genuine} {purity} {innocence} {net (profit)}
J3d68	U51e6	N1162	 {dispose} {manage} {deal with} {sentence} {condemn} {act} {behave}
J3d6b	U6691	N2138	 {sultry} {hot} {summer heat}
J3d71	U66f8	N3719	 {write}
J3d77	U5973	N1185	 {woman} {female}
J3d7c	U9664	N4993	 {exclude} {division (x/3)} {remove} {abolish} {cancel} {except}
J3e26	U5546	N0321	 {make a deal} {selling} {dealing in} {merchant}
J3e2e	U5c0f	N1355	 {little} {small}
J3e2f	U5c11	N0166	 {few} {little}
J3e3d	U6676	N2137	 {sparkle} {clear} {crystal}
J3e3e	U677e	N2212	 {pine tree}
J3e46	U713c	N2772	 {bake} {burning}
J3e4b	U785d	N3192	 {nitrate} {saltpeter}
J3e4e	U79f0	N3280	 {appellation} {praise} {admire} {name} {title} {fame}
J3e57	U885d	N1638	 {collide} {brunt} {highway} {opposition (astronomy)} {thrust} {pierce} {stab} {prick}
J3e5a	U8a3c	N4341	 {evidence} {proof} {certificate}
J3e5d	U8c61	N4472	 {elephant} {pattern after} {imitate} {image} {shape} {sign (of the times)}
J3e65	U4e0a	N0798	 {above} {up}
J3e68	U4e57	N0223	 {ride} {power} {multiplication} {record} {no. of vehicles} {board} {mount} {join}
J3e6c	U5834	N1113	 {location} {place}
J3e6f	U5e38	N1364	 {usual} {ordinary} {normal} {regular}
J3e75	U72b6	N2839	 {status quo} {conditions} {circumstances} {form} {appearance}
J3e78	U84b8	N4002	 {steam} {heat} {sultry} {foment} {get musty}
J3f22	U690d	N2303	 {plant}
J3f27	U8272	N3889	 {color}
J3f29	U98df	N5154	 {eat} {food}
J3f2d	U4f38	N0403	 {expand} {stretch} {extend} {lengthen} {increase}
J3f34	U5fc3	N1645	 {heart} {mind} {spirit}
J3f36	U632f	N1920	 {shake} {wave} {wag} {swing}
J3f37	U65b0	N2080	 {new}
J3f39	U68ee	N2301	 {forest} {woods}
J3f3f	U771f	N0783	 {true} {reality} {Buddhist sect}
J3f43	U81e3	N3837	 {retainer} {subject}
J3f48	U8eab	N4601	 {somebody} {person} {one's station in life}
J3f49	U8f9b	N4646	 {spicy} {bitter} {hot} {acrid}
J3f4a	U9032	N4709	 {advance} {proceed} {progress} {promote}
J3f4c	U9707	N5055	 {quake} {shake} {tremble} {quiver} {shiver}
J3f4d	U4eba	N0339	 {person}
J3f5e	U56f3	N1034	 {map} {drawing} {plan} {unexpected} {accidentally}
J3f62	U5782	N0211	 {droop} {suspend} {hang} {slouch}
J3f65	U6c34	N2482	 {water}
J3f69	U7fe0	N3676	 {green}
J3f74	U6570	N2057	 {number} {strength} {fate} {law} {figures}
J402d	U6027	N1666	 {sex} {gender} {nature}
J402e	U6210	N1799	 {turn into} {become} {get} {grow} {elapse} {reach}
J4030	U6574	N2436	 {organize} {arranging} {tune} {tone} {meter} {key (music)}
J4031	U661f	N2121	 {star} {spot} {dot} {mark}
J4032	U6674	N2143	 {clear up}
J4035	U6b63	N0027	 {correct} {justice} {righteous} {10**40}
J4038	U751f	N2991	 {life} {genuine} {birth}
J403e	U897f	N4273	 {west} {Spain}
J4044	U9752	N5076	 {blue} {green}
J4045	U9759	N5077	 {quiet}
J404e	U6614	N2108	 {once upon a time} {antiquity} {old times}
J404f	U6790	N2194	 {chop} {divide} {tear} {analyze}
J4050	U77f3	N3176	 {stone}
J4051	U7a4d	N3306	 {volume} {product (x*y)} {acreage} {contents} {pile up} {stack} {load} {amass}
J4056	U8d64	N4534	 {red}
J405a	U5207	N0667	 {cut} {cutoff} {be sharp}
J405c	U63a5	N1951	 {touch} {contact} {adjoin} {piece together}
J405e	U6298	N1855	 {fold} {break} {fracture} {bend} {yield} {submit}
J4063	U96ea	N5044	 {snow}
J4064	U7d76	N3539	 {discontinue} {beyond} {sever} {cut off} {abstain} {interrupt} {suppress}
J4065	U820c	N3855	 {tongue} {reed} {clapper}
J4068	U5148	N0571	 {before} {ahead} {previous} {future} {precedence}
J4069	U5343	N0156	 {thousand}
J406e	U5ddd	N1447	 {stream} {river}
J4070	U6247	N1823	 {fan} {folding fan}
J407e	U7dda	N3580	 {line} {track}
J4125	U8239	N3873	 {ship} {boat}
J4130	U524d	N0595	 {in front} {before}
J4133	U7136	N2770	 {sort of thing} {so} {if so} {in that case} {well}
J4134	U5168	N0384	 {whole} {entire} {all} {complete} {fulfill}
J4147	U7d20	N3511	 {elementary} {principle} {naked} {uncovered}
J4148	U7d44	N3520	 {association} {braid} {plait} {construct} {assemble} {unite} {cooperate} {grapple}
J4150	U53cc	N0859	 {pair} {set} {comparison} {no. of pairs}
J4158	U5c64	N1402	 {stratum} {social class} {layer} {story} {floor}
J415b	U60f3	N1728	 {concept} {think} {idea} {thought}
J4161	U65e9	N2100	 {early} {fast}
J416a	U76f8	N2241	 {inter-} {mutual} {together} {each other} {minister of state} {councillor} {aspect} {phase} {physiognomy}
J416d	U7dcf	N3567	 {general} {whole} {all} {full} {total}
J4170	U8349	N3939	 {grass} {weeds} {herbs} {pasture} {write} {draft}
J4175	U88c5	N4234	 {attire} {dress} {pretend} {disguise} {profess}
J4176	U8d70	N4539	 {run}
J417c	U50cf	N0540	 {statue} {picture} {image} {figure} {portrait}
J417d	U5897	N1137	 {increase} {add} {augment} {gain} {promote}
J4224	U9020	N4701	 {create} {make} {structure} {physique}
